"tag","ds_hierarquia_a","ds_hierarquia_b"
w3 - problema - alterar e-mail,Fraude,Alteração de Cadastro
w3 - duvida - acao emprestimos serasa,Empréstimos,Ação Empréstimo Serasa
wb-cep,Conta,Envio de PIX
w3 - problema - pix duplicado,Conta,Envio de PIX
w3 - reclamacao - embalagem danificada,Cartão,Problema no recebimento do cartão
w3 - duvida - idade minima,Cartão,Status da Proposta
w3 - problema - compra recusada prilex com fraude,Fraude,Não reconhecimento de compra no crédito
w3 - duvida - conta cancelada com emprestimo ativo,Cartão,Cancelamento de conta
w3 - reclamacao - bloqueio alteracao cadastral,Fraude,Validação novo dispositivo
w3 - solicitacao - resultado analise de contestacao,Fraude,Resultado análise de fraude
wb-nrc,Cartão,Não reconhecimento de compra no crédito
w3 - duvida - desbloqueio cartao,Cartão,Desbloqueio de cartão
w3 - solicitacao - declaracao de titularidade,Conta,Gestão da Conta
w3 - problema - ajuste fatura,Cartão,Antecipação de Fatura
w3 - duvida - investimento will,Conta,Gestão do Bolso/Rendimento Conta
w3 - duvida - tarifas e encargos saque debito,Conta,Gestão de Saque
w3 - duvida - contratacao de seguro debito em conta,Conta,Contratação de seguro
w3 - solicitacao - 2 via cliente migrado,Cartão,Segunda via cartão
w3 - solicitacao - autorizacao de dispositivo,Fraude,Validação novo dispositivo
w3 - problema - campanha toma promocao,Cartão,Dúvidas sobre campanha
wb-gp,Fraude,Falsidade ideológica
w3 - problema - ted nao compensada,Conta,Envio de TED
w3 - duvida - excluir chave pix,Conta,Chaves PIX
w3 - problema - recarga divergente,Conta,Gestão de Recarga
w3 - problema - entrega cartao debito conta simples,Conta,Uso do cartão de débito
w3 - problema - gamificacao,Cartão,Campanha gamificação
w3 - duvida - primeiro desbloqueio cartao,Cartão,Desbloqueio de cartão
w3 - problema - primeiro desbloqueio cartao,Cartão,Desbloqueio de cartão
wb-pco,Cartão,Parcelamento de compra
w3 - duvida - recebimento pix,Conta,Recebimento de PIX
w3 - duvida - indicar amigos,Cartão,Status da Proposta
w3 - duvida - confirmar cancelamento,Cartão,Cancelamento de conta
w3 - duvida - descadastramento de cartao google pay,Cartão,Wallet
w3 - problema - biometria facial fgts,Fraude,Biometria FGTS
w3 - duvida - pagar boleto externo parcial,Conta,Boleto externo parcial
w3 - problema - campanha MGM aumento de limite,Cartão,Dúvidas sobre campanha
